f1,f2,f3,f4,f5,label
0.2983941561357934,0.1178916890744524,0.8691773593222929,0.063315677056672,0.0156350270461909,0
0.7896375403738134,0.1162420070780021,0.3005516524796306,0.6536385217240115,0.6892430233249559,0
0.0841455093450301,0.7786136263732488,0.8289290954404616,0.4112935217973521,0.4115050612306693,1
0.5607887634136941,0.7763893900094162,0.0202151014254504,0.2148994643431554,0.797738763001562,0
0.6691006078859437,0.0792106056250124,0.943596062961225,0.2513969396814718,0.0435835389269562,0
0.1635714870582274,0.8719525247746012,0.6929171287432314,0.5488235486058047,0.8424499682785956,0
0.6075147166138944,0.0222090991134308,0.5372611699306071,0.0074837195831589,0.906993729472747,0
0.3364046982214173,0.2613922872240084,0.1813686265070186,0.1374227316942252,0.8622328127628328,0
0.0283476668676548,0.6860334984589506,0.7855607772064511,0.5514154623136246,0.7975902159229422,1
0.317369507502089,0.5267643290849511,0.1332589128943178,0.9636254293727716,0.1866607158186881,1
0.8413567496431827,0.7474798663188408,0.7701817330028131,0.6345275933500784,0.7035397607506286,1
0.2604899394729302,0.977002743156888,0.9060658784014718,0.3063764640568323,0.7591388876894359,1
0.8293495963167843,0.5838867713463705,0.9514133296880306,0.9299898399740532,0.3070240914561344,1
0.792439840499913,0.0401488912038812,0.0026993757389066,0.2489811794431827,0.2207519618745446,0
0.6050535090465748,0.9103289465100926,0.8558874086125013,0.346270254014015,0.0797205214861054,1
0.8952038466306563,0.7544229218885353,0.7898207672704387,0.0077469621496419,0.6847104873721258,1
0.505312611808843,0.4163917925928515,0.3075986844925261,0.4234586626622062,0.8131958015552966,0
0.2177217016549166,0.1141503526963358,0.3344972762873203,0.7100826736057585,0.8152037951847909,1
0.0120054653124241,0.132853029957129,0.8302674612968245,0.3545565651628301,0.8574206235044243,1
0.511034102548489,0.8080417706191754,0.6820794751615682,0.2577905526977717,0.7496840029634024,0
0.2591961042099379,0.5241049210401973,0.0944678294154234,0.3112756689072826,0.3434613396002044,0
0.1409765409301274,0.8605907593990649,0.3505372658800693,0.5401538596427468,0.6298657470223645,0
0.9202843194618384,0.1756715724187946,0.59320748795007,0.812392342593313,0.5552239517015453,1
0.1489135874283814,0.4054125556528164,0.5032524965145047,0.208479097110466,0.628186234996946,0
0.5535766581350502,0.3601725686127849,0.7915869973053241,0.8431523982841195,0.527918003500101,1
0.5835146192292016,0.1637478580389185,0.9776724617965056,0.1732214813959935,0.3237120753118597,1
0.5143864629629084,0.0202179359261491,0.9078474893374202,0.2586780916442543,0.953359595234917,1
0.8107347570018784,0.4020234505760971,0.8716256297919418,0.6027653368642065,0.0768280773685573,1
0.0787916523768731,0.4959965811731246,0.5338645701089659,0.6772528478084462,0.4568498327750894,0
0.3183653180407461,0.7262942308772763,0.2676773693019045,0.2205640574053398,0.2286078979840612,0
0.6875537455742093,0.9525683320535118,0.7282570103489818,0.990232069099816,0.004284581056074,1
0.2696451802433074,0.74640156882647,0.6722204622755052,0.1148830797673146,0.7102542705945093,1
0.0220087424260616,0.7368195411171093,0.4147713471151408,0.2695153552454755,0.3365252223283523,0
0.915210998364113,0.8120297822926766,0.395748974322011,0.6830085600794604,0.9269699709032472,1
0.5827237161953085,0.3011900737871348,0.0675361678499418,0.8562593107576983,0.7093876678947123,0
0.8315710430106289,0.7411171674855171,0.2986881914034084,0.8884626692109201,0.5792756707225423,1
0.5763912804317686,0.4309074257031714,0.5039530522087039,0.5207922659701899,0.3431813315291914,1
0.9375641879114516,0.4183124189726972,0.6231370671554911,0.322904136207403,0.1908658452810596,1
0.9326298971233477,0.964986050559614,0.414463875376216,0.4378537555369647,0.8113367337778155,1
0.7167877192813809,0.908192922453758,0.1249449035664101,0.7280497107826766,0.5559618953142845,0
0.9765172994376689,0.871586494960823,0.950920428716256,0.4613565450377501,0.9617146557694692,1
0.3943448739093395,0.4049107934832882,0.1931836030790901,0.0353792565077133,0.9651682999790904,0
0.5131631919284492,0.5344654827255486,0.2125377741955366,0.2897465034714721,0.6766632374607376,1
0.682539416746798,0.2382488807915831,0.5858601808089768,0.9520384089777848,0.5973583629809057,1
0.3282757193081027,0.4236281540679544,0.6050597368281313,0.5978295731363419,0.6285308526826634,0
0.0774620752719592,0.7274274446090925,0.4556977096757557,0.6666448772348921,0.2653109334645996,0
0.0554400340995309,0.6960345698254108,0.6693918117166714,0.903462351617922,0.1605125464637741,0
0.9975478448877548,0.9141585003420776,0.9138658645636192,0.5268967621377227,0.2998195683744248,1
0.5600352064541507,0.358520094740658,0.731166433417355,0.4572756626696407,0.9974884644604092,1
0.4416364597796782,0.7338589807724937,0.8246189371420587,0.3113889000066178,0.8395481214585968,1
0.2281817430582675,0.8990648536121659,0.6466269571957193,0.7943289320539044,0.5257331027481672,1
0.5560719611098461,0.3916556710200523,0.8740849789940882,0.4389766995221452,0.2670194784308181,1
0.5095400460962229,0.6534458606740607,0.8810879937811078,0.2514356056646257,0.6231697903507974,1
0.4586431195187721,0.8252364071486772,0.8482663319481409,0.949986448052357,0.1108742638612102,1
0.9124744097527104,0.3457693266432211,0.8763867594462886,0.347980955019905,0.581430426447456,1
0.4561306563750528,0.8622956593229135,0.7718953016460315,0.581167277530208,0.4270553412538085,1
0.1005807175870786,0.6660761605792677,0.7970938878632254,0.2136305145747469,0.3969198148397165,1
0.209181173897332,0.0293251973260579,0.5528280316392807,0.5495343897677655,0.990376549340103,0
0.264224225352218,0.6389676540349587,0.8835206398660728,0.956755184620707,0.773385936600728,1
0.3589113433159155,0.8795625014635098,0.6269810655901131,0.7768904201271233,0.9598045993348404,1
0.576110689010071,0.2740598487510534,0.3714765081291374,0.5287915778388851,0.8315057879565434,1
0.8247926294802544,0.1799418497363151,0.8636125669017859,0.3563154491766426,0.9927614538017292,1
0.4637979085064453,0.2427266959823658,0.5534994481650506,0.8644934447401923,0.9468254927867396,0
0.4547241915277579,0.8058690781530226,0.4026183102691266,0.151325974865239,0.8176079716032739,0
0.3249468307196094,0.7487967489928784,0.6183914619839498,0.7232051786363147,0.4191106358864424,0
0.2916646691516058,0.7570848142120516,0.4762662694935149,0.809917325178201,0.3143104623952321,0
0.7820818622004383,0.235429198352026,0.8480875974826735,0.5170821209931064,0.6172144858122263,1
0.6809091397234501,0.751098218744188,0.1992091473230431,0.7801988640210599,0.5025405288003234,1
0.8063166868217565,0.2971304043864197,0.2960435467845079,0.8391231483538728,0.9611407885770746,1
0.1136370163189016,0.5287869193974797,0.319049861594406,0.3735015726586784,0.0399725123849802,0
0.9300695499723874,0.2789490260566276,0.7479381518549447,0.967624457818919,0.4485395238570235,1
0.1434964947271311,0.6319026090501575,0.8770939215987814,0.5230373554315304,0.3432914327287921,0
0.8410568432365316,0.9982477060601216,0.8263117625013902,0.7767355972859536,0.8479821963048008,1
0.5595846494581842,0.5121554612811301,0.4213270057393328,0.7720238989089728,0.5127998435789255,1
0.3370137899163762,0.5146458409967912,0.8825107744754609,0.3073965249677595,0.7179498839193589,1
0.8994500147721133,0.634839747978955,0.154865910013659,0.6461975500355397,0.6434263883102209,0
0.9504401900920014,0.7364928444018394,0.681660185650102,0.4925371412726713,0.8866581419739947,1
0.1411681823148933,0.9404320785121804,0.0552482700681352,0.168028567914347,0.3854199911367121,0
0.0042780844132549,0.4967434283303015,0.7420181161455139,0.9811468498435618,0.2898703225220428,0
0.8928346258077459,0.8925651343413058,0.0856299368611727,0.6547302441353674,0.5660576137568412,1
